score,time_seconds,collisions_seconds,seed
//-20 sitefidelity - only SF congestion
76,1200,1740.58,37585
65,1200,1867.84,432148
72,1200,1353.27,962703
57,1200,2171.56,442183
72,1200,1854.36,31166
67,1200,1865.58,676753
63,1200,1557.22,259332
61,1200,1887.95,839866
45,1200,2602.22,378628
74,1200,1309.05,84314
78,1200,1472.08,591776
62,1200,2062.91,91334
79,1198,804.656,767889


average:
score: 64.57
collisions_seconds: 1767.80

//after prob equation with -20 sf delay
73,1200,1489.23,834485
76,1200,1090.8,25405
79,1136.5,1085.39,391158
79,995.5,907.703,373389
75,1200,1449.98,208790
78,1200,1576.31,541708
78,1200,1076.31,28398
48,1200,2353.73,417582
76,1200,1455.22,93886
77,1200,1547.97,665733
78,1200,1357.64,155972
70,1200,2044.66,633797
68,1200,2082.73,301704
74,1200,1477.59,865058
70,1200,1972.84,383876
48,1200,2689.11,979843
67,1200,1936.89,734905
44,1200,2636.83,393522
76,1200,1538.47,89443
58,1200,2217.52,614314
78,1200,1074.86,242831
75,1200,1424.08,735350
64,1200,1837.7,381768
71,1200,1642.84,29546
66,1200,2079.45,739719
75,1200,1427.19,422213
71,1200,1624.58,47370
59,1200,2343.59,695571
66,1200,1863.62,421208
67,1200,2033.45,78392

Averages
score	69.23
collisions_seconds	1,727.95



//after prob equation with -15 sf delay
63,1200,1941.23,768040
66,1200,1812.75,278495
70,1200,2053.5,669977
43,1200,3086.86,933413
67,1200,1446.34,626609
53,1200,1914.83,92765
41,1200,2596.94,671448
63,1200,2152.39,374449
47,1200,2611.47,986628
73,1200,1901.92,692690
57,1200,2385.8,317004
76,1200,1194.75,12320
55,1200,2190.84,615363
46,1200,2560.83,328168
70,1200,1836.66,65060
78,1200,1647.55,683369
56,1200,2368.64,277066
43,1200,2694.64,9472
49,1200,2633.41,827857
60,1200,1933.86,642101
79,1108,1090.77,315430
58,1200,2197.39,295510
59,1200,2150.86,987509
49,1200,2405.7,685750
53,1200,2432.44,491869
60,1200,1914.84,239832
42,1200,3214.81,17889
68,1200,1380.61,932445
55,1200,2519.98,676015
53,1200,2344.86,433634
45,1200,2658.14,248553

//after prob equation with -10 sf delay
56,1200,2446.42,711634
70,1200,1606.86,593547
53,1200,2513,202758
61,1200,1893.88,12144
74,1200,1157.89,806411
61,1200,2193.47,392621
53,1200,2351.59,138168
46,1200,2452.75,846031
60,1200,2241.36,694192
79,1097.5,953.688,360660
70,1200,1959.06,244857
59,1200,1892.08,911145
70,1200,2099.73,639922
36,1200,2845.02,276664
72,1200,1607.67,138050
46,1200,2376.67,827478
70,1200,1634.67,648311
44,1200,2678.11,401362
71,1200,1613.83,182191
76,1200,1479.58,858382
45,1200,2589.61,572572
42,1200,2731.34,385510
77,1200,1842.42,247817
77,1200,1427.06,2228
78,1200,1370.48,781502
79,1200,1225.72,480744
73,1200,1516.81,75897
77,1200,1414.81,762424
76,1200,1757.23,516512
75,1200,1586.95,282703

averages: 
score	64.20
collisions_seconds	1,915.33

//after prob equation with -30 sf delay
63,1200,2057.98,566647
51,1200,2240.42,433444
56,1200,2219.39,325598
46,1200,2737.97,53934
67,1200,2054.92,831816
63,1200,1697.17,544865
63,1200,2213.64,277867
78,1200,1329.92,100481
40,1200,2609.38,718834
67,1200,1690.09,585372
55,1200,2248.61,346637
79,1200,943.281,83623
79,1200,1038.25,626934
69,1200,2021.97,206290
77,1200,1126.66,873174
65,1200,1980.45,536047
62,1200,2143.12,331125
64,1200,1961.17,93091
69,1200,1840.2,866327
52,1200,2578.53,823869
73,1200,1734.66,687413
40,1200,2814.75,509459
79,1200,925.141,475480
56,1200,2294.23,37235
46,1200,2572.33,885582
79,1007.5,1113.55,502460
45,1200,2735.34,933339
66,1200,1621.5,733487
75,1200,1335.39,508067
72,1200,1203.41,163436

average
score	63.20
collisions_seconds	1,902.78

//after prob equation with -18 sf delay
78,1200,1296.3,715168
77,1200,1160.81,249899
71,1200,1655.94,637204
61,1200,1926.67,126332
46,1200,2699.61,692881
41,1200,2754.22,411859
28,1200,3321.69,124192
65,1200,2166.62,960262
72,1200,1824.72,627089
78,1200,1088.97,336429
66,1200,2159.06,840564
69,1200,1947.16,668400
69,1200,1589.44,527390
71,1200,1121.84,301810
59,1200,2119.05,72142
76,1200,1456.86,896098
64,1200,1664.16,686144
68,1200,1222.67,589583
69,1200,1900.09,368909
70,1200,1844.08,239774
76,1200,1620.98,189241
26,1200,3059.66,895109
66,1200,1866.06,835116
78,1200,1404.7,628581
63,1200,2291.16,348318
78,1200,1174.84,171968
76,1200,1556.33,631133
61,1200,1794.83,312665
76,1200,1517,85407
66,1200,2115.03,750714

average 
score	65.47
collisions_seconds	1844.02
26,1200,3059.66,895109


//equation and sf delay 20 but 50 runs

78,1200,1757.11,714790
48,1200,2646.09,894544
56,1200,2300.22,317069
73,1200,1867.58,607799
51,1200,2325.05,763239
63,1200,1898.75,155917
67,1200,1873.22,430316
77,1200,1480.91,649070
68,1200,1984.12,815289
53,1200,2478.8,71815
53,1200,2315.44,491969
77,1200,1291.11,863299
63,1200,2122.02,62334
76,1200,1824.52,417277
44,1200,2560.02,675968
50,1200,2386.84,154880
51,1200,2842.16,632330
79,1127,1108.5,70402
74,1200,1521.31,904449
72,1200,1750.27,243753
63,1200,2136.8,682226
76,1200,1572.25,112899
53,1200,2394.69,463013
79,1122,1468.55,991273
66,1200,2174.27,668931
78,1092,1064.55,124542
72,1200,1312.78,740471
66,1200,1754.92,124335
70,1200,1604.47,702315
65,1200,1944.05,65247
77,1026,1044.16,521784
45,1200,2594.94,864004
78,1200,1538.5,415630
76,1200,1270.78,763298
59,1200,2191.44,113906
72,1200,1675.44,588475
48,1200,2714.91,42443
71,1200,1713.67,954180
33,1200,2594.34,410428
38,1200,2427.3,113314
78,1165.5,1362.28,714679
79,1195.5,1433.95,951504
73,1200,1598.09,320360
63,1200,1794.55,802548
77,1200,1059.52,367789
68,1200,1278.45,753227
74,1200,1853.77,241290
76,1200,1154.33,778923
58,1200,2094.3,188004
78,1200,1422.52,756417


53,1200,2236.17,1847
63,1200,1921,350511
57,1200,1744.06,696784
71,1200,1259.55,980786
51,1200,2763,142232
79,1200,1169.23,531751
78,1200,1516.14,887156
79,1198.5,1305.91,275639
62,1200,1868.42,543425
79,1109,971.469,902187
72,1200,1484.58,605945
53,1200,2554.53,879694
73,1200,1535.61,356257
75,1200,1490.11,643900
54,1200,2118.53,969276
59,1200,2175.48,444327
79,1161.5,963.562,914359
70,1200,1846.84,982266
71,1200,1671.44,448806
64,1200,1781.55,915599
75,1200,1193.52,333530
58,1200,2374.72,755220
69,1200,1893.42,274470
67,1200,1712.08,804819
59,1200,2538.73,299264
78,1200,1238.47,900440
49,1200,2364.64,306282
79,1200,1298.73,903134
67,1200,1491.97,293161
78,1200,1509.02,848312


//now with 32 robots
38,1200,4059.56,272527
37,1200,3848.19,585198
39,1200,3465.03,919010
38,1200,3569.62,334325
26,1200,4930.06,130949
33,1200,3961.06,5868
32,1200,4257.69,899502
39,1200,3613.44,532387
25,1200,4047.59,316673
37,1200,4210.45,186936
31,1200,4108.38,307736
37,1200,4356.78,823233
46,1200,3368.8,301971
45,1200,3077.89,821203
44,1200,3167.75,180904
26,1200,4981.94,417187
31,1200,4571.19,151147
45,1200,3452.92,792119
39,1200,3829.98,326210
34,1200,3725.08,887713
39,1200,3599.45,551235
30,1200,3839.53,68208
30,1200,4682.67,628718
41,1200,3632.77,201179
23,1200,4071.83,636882
45,1200,3160.5,266575
31,1200,3950.56,757178
30,1200,4131.39,476438
37,1200,3780.55,61437
35,1200,3752.44,573437

averages
score: 35.43
collisions_seconds: 3906.84
